,month,Temperature,RH,Rain,FFMC,DMC,DC,ISI,BUI,FWI,region_encoded
115,9,29,65,0.6,68.3,5.5,15.2,1.5,5.8,0.7,0
208,8,33,37,0.0,92.2,61.3,167.2,13.1,64.0,30.3,1
158,7,38,43,0.5,85.0,13.0,35.4,4.1,13.7,5.2,1
132,6,31,42,0.0,90.6,18.2,30.5,13.4,18.0,16.7,1
84,8,34,64,0.0,88.9,40.5,171.3,9.0,50.9,20.9,0
55,7,36,53,0.0,89.2,17.1,98.6,10.0,23.9,15.3,0
86,8,31,78,0.0,85.8,45.6,190.6,4.7,57.1,13.7,0
162,7,34,56,2.9,74.8,7.1,9.5,1.6,6.8,0.8,1
179,7,33,57,0.0,87.5,15.7,37.6,6.7,15.7,9,1
225,9,31,72,0.0,84.2,8.3,25.2,3.8,9.1,3.9,1
231,9,36,33,0.1,90.6,25.8,77.8,9.0,28.2,15.4,1
154,7,34,56,0.1,84.7,9.7,27.3,4.7,10.3,5.2,1
97,9,29,74,0.1,75.8,3.6,32.2,2.1,5.6,0.9,0
141,6,31,72,0.2,60.2,3.8,8,0.8,3.7,0.3,1
193,8,40,31,0.0,94.2,22.5,46.3,16.6,22.4,21.6,1
68,8,32,60,0.3,77.1,11.3,47,2.2,14.1,2.6,0
119,9,32,47,0.7,77.5,7.1,8.8,1.8,6.8,0.9,0
69,8,35,59,0.0,87.4,14.8,57,6.9,17.9,9.9,0
153,7,33,48,0.0,87.6,7.9,17.8,6.8,7.8,6.4,1
195,8,35,34,0.2,88.3,16.9,45.1,7.5,17.5,10.5,1
104,9,25,86,4.6,40.9,1.3,7.5,0.1,1.8,0,0
109,9,32,49,0.0,89.4,9.8,33.1,6.8,11.3,7.7,0
191,8,39,43,0.0,91.7,16.5,30.9,9.6,16.4,12.7,1
79,8,35,62,0.0,89.4,23.2,120.9,9.7,31.3,17.2,0
29,6,33,50,0.0,88.7,22.9,92.8,7.2,28.3,12.9,0
120,9,26,80,1.8,47.4,2.9,7.7,0.3,3.0,0.1,0
114,9,32,54,0.5,73.7,7.9,30.4,1.2,9.6,0.7,0
242,9,24,54,0.1,79.7,4.3,15.2,1.7,5.1,0.7,1
5,6,31,67,0.0,82.6,5.8,22.2,3.1,7.0,2.5,0
56,7,36,48,0.0,90.3,22.2,108.5,8.7,29.4,15.3,0
124,6,29,80,2.0,48.7,2.2,7.6,0.3,2.6,0.1,1
147,6,36,62,0.0,87.8,16.5,34.5,7.0,16.4,9.5,1
227,9,28,81,0.0,84.6,12.6,41.5,4.3,14.3,5.7,1
65,8,34,65,0.0,86.8,11.1,29.7,5.2,11.5,6.1,0
169,7,33,68,0.0,86.1,23.9,51.6,5.2,23.9,9.1,1
207,8,34,40,0.0,92.1,56.3,157.5,14.3,59.5,31.1,1
144,6,33,59,0.8,74.2,7.0,8.3,1.6,6.7,0.8,1
31,7,27,75,1.2,55.7,2.4,8.3,0.8,2.8,0.3,0
12,6,27,84,1.2,50.0,6.7,17,0.5,6.7,0.2,0
35,7,32,63,0.0,87.0,10.9,37,5.6,12.5,6.8,0
28,6,32,47,0.3,79.9,18.4,84.4,2.2,23.8,3.9,0
42,7,34,81,0.0,81.8,9.7,37.2,3.0,11.7,3.4,0
101,9,33,73,1.8,59.9,2.2,8.9,0.7,2.7,0.3,0
125,6,30,64,0.0,79.4,5.2,15.4,2.2,5.6,1,1
177,7,35,58,0.2,78.3,10.8,19.7,1.6,10.7,1,1
51,7,28,79,0.1,73.4,16.4,79.9,1.8,21.7,2.8,0
95,9,29,73,0.1,68.4,1.9,15.7,1.4,2.9,0.5,0
139,6,33,62,8.7,65.5,4.6,8.3,0.9,4.4,0.4,1
194,8,39,21,0.4,93.0,18.4,41.5,15.5,18.4,18.8,1
76,8,36,61,0.3,80.2,11.7,90.4,2.8,17.6,4.2,0
41,7,31,75,0.1,75.1,7.9,27.7,1.5,9.2,0.9,0
198,8,40,41,0.1,92.0,22.6,65.1,9.5,24.2,14.8,1
148,6,36,55,0.0,89.1,20.9,43.3,8.0,20.8,12,1
78,8,36,54,0.0,89.4,20.0,110.9,9.7,27.5,16.1,0
143,6,33,46,1.1,78.3,8.1,8.3,1.9,7.7,1.2,1
26,6,34,53,0.0,89.0,21.6,80.3,9.2,25.8,15,0
235,9,33,64,0.0,88.9,26.1,106.3,7.1,32.4,13.7,1
159,7,35,47,6.0,80.8,9.8,9.7,3.1,9.4,3,1
183,8,38,52,0.0,78.3,4.4,10.5,2.0,4.4,0.8,1
200,8,37,37,0.0,94.3,35.9,86.8,16.0,35.9,26.3,1
0,6,29,57,0.0,65.7,3.4,7.6,1.3,3.4,0.5,0
2,6,26,82,13.1,47.1,2.5,7.1,0.3,2.7,0.1,0
77,8,37,52,0.0,89.3,16.0,100.7,9.7,22.9,14.6,0
46,7,29,70,0.0,82.8,9.4,34.1,3.2,11.1,3.6,0
100,9,30,77,1.0,56.1,2.1,8.4,0.7,2.6,0.2,0
234,9,35,34,0.0,92.2,23.6,97.3,13.8,29.4,21.6,1
146,6,34,70,0.0,86.0,12.8,25.6,5.4,12.7,6.7,1
174,7,31,71,0.0,87.3,46.6,99,6.9,46.5,16.3,1
90,8,35,70,0.8,72.7,25.2,180.4,1.7,37.4,4.2,0
85,8,35,60,0.0,88.9,43.9,181.3,8.2,54.7,20.3,0
206,8,35,38,0.0,92.1,51.3,147.7,12.2,54.9,26.9,1
213,8,30,59,0.0,89.1,27.8,168.2,9.8,39.3,19.4,1
98,9,31,71,0.3,69.6,3.2,30.1,1.5,5.1,0.6,0
36,7,35,64,0.2,80.0,9.7,40.4,2.8,12.1,3.2,0
142,6,32,55,0.0,86.2,8.3,18.4,5.0,8.2,4.9,1
61,8,36,45,0.0,78.8,4.8,10.2,2.0,4.7,0.9,0
22,6,32,62,0.1,81.4,8.2,47.7,3.3,11.5,3.8,0
118,9,31,66,0.0,85.7,8.3,24.9,4.0,9.0,4.1,0
219,9,34,71,6.5,64.5,3.3,9.1,1.0,3.5,0.4,1
136,6,28,90,0.0,66.8,7.2,14.7,1.2,7.1,0.6,1
11,6,26,81,0.0,84.0,13.8,61.4,4.8,17.7,7.1,0
238,9,28,70,0.0,79.9,13.8,36.1,2.4,14.1,3,1
27,6,32,55,0.0,89.1,25.5,88.5,7.6,29.7,13.9,0
223,9,29,74,1.1,59.5,4.7,8.2,0.8,4.6,0.3,1
4,6,27,77,0.0,64.8,3.0,14.2,1.2,3.9,0.5,0
122,6,32,71,0.7,57.1,2.5,8.2,0.6,2.8,0.2,1
32,7,32,76,0.7,63.1,2.6,9.2,1.3,3.0,0.5,0
140,6,32,67,4.5,64.6,4.4,8.2,1.0,4.2,0.4,1
173,7,32,48,0.0,91.5,44.2,90.1,13.2,44.0,25.4,1
138,6,31,69,4.7,62.2,3.9,8,1.1,3.8,0.4,1
62,8,35,55,0.4,78.0,5.8,10,1.7,5.5,0.8,0
135,6,27,79,0.7,53.4,6.4,7.3,0.5,6.1,0.3,1
128,6,35,44,0.2,85.6,9.9,28.9,5.4,10.7,6,1
220,9,31,62,0.0,83.3,5.8,17.7,3.8,6.4,3.2,1
184,8,40,34,0.0,93.3,10.8,21.4,13.8,10.6,13.5,1
70,8,35,55,0.0,88.9,18.6,67,7.4,21.9,11.6,0
187,8,34,42,0.1,88.3,23.6,52.5,19.0,23.5,12.6,1
64,8,34,69,0.0,85.0,8.2,19.8,4.0,8.2,3.9,0
44,7,30,80,0.4,60.7,5.2,17,1.1,5.9,0.5,0
156,7,34,45,0.0,90.5,18.7,46.4,11.3,18.7,15,1
40,7,33,76,0.0,81.1,8.1,18.7,2.6,8.1,2.2,0
123,6,30,73,4.0,55.7,2.7,7.8,0.6,2.9,0.2,1
23,6,32,66,0.0,85.9,11.2,55.8,5.6,14.9,7.5,0
182,7,37,55,0.0,89.3,28.3,67.2,8.3,28.3,14.5,1
178,7,29,87,0.0,80.0,11.8,28.3,2.8,11.8,3.2,1
81,8,36,58,0.0,88.6,29.6,141.1,9.2,38.8,18.4,0
39,7,33,69,0.7,66.6,6.0,9.3,1.1,5.8,0.5,0
212,8,34,49,0.0,89.2,24.8,159.1,8.1,35.7,16,1
47,7,31,68,0.0,85.4,12.1,43.1,4.6,14.2,6,0
94,9,25,78,3.8,42.6,1.2,7.5,0.1,1.7,0,0
185,8,39,33,0.0,93.7,17.1,32.1,17.2,16.9,19.5,1
43,7,34,61,0.6,73.9,7.8,22.9,1.4,8.4,0.8,0
145,6,35,68,0.0,85.3,10.0,17,4.9,9.9,5.3,1
166,7,34,45,0.0,90.5,18.0,24.1,10.9,17.7,14.1,1
3,6,25,89,2.5,28.6,1.3,6.9,0.0,1.7,0,0
105,9,22,76,8.3,47.4,1.1,7,0.4,1.6,0.1,0
53,7,28,78,0.1,70.0,9.6,79.7,1.4,14.7,1.3,0
133,6,27,58,0.0,88.9,21.3,37.8,8.7,21.2,12.9,1
221,9,30,88,0.0,82.5,6.6,26.1,3.0,8.1,2.7,1
205,8,36,43,0.0,91.2,46.1,137.7,11.5,50.2,24.5,1
226,9,29,49,0.0,88.6,11.5,33.4,9.1,12.4,10.3,1
49,7,33,65,0.1,81.4,12.3,62.1,2.8,16.5,4,0
163,7,36,44,0.0,90.1,12.6,19.4,8.3,12.5,9.6,1
80,8,35,68,0.0,88.3,25.9,130.6,8.8,34.7,16.8,0
34,7,33,66,0.0,85.9,7.6,27.9,4.8,9.1,4.9,0
201,8,35,66,0.1,82.7,32.7,96.8,3.3,35.5,7.7,1
7,6,30,73,0.0,86.6,12.1,38.3,5.6,13.5,7.1,0
172,7,36,29,0.0,93.9,39.6,80.6,18.5,39.5,30,1
110,9,29,57,0.0,89.3,12.5,41.3,7.8,14.2,9.7,0
91,8,28,80,16.8,52.5,8.7,8.7,0.6,8.3,0.3,0
83,8,36,53,0.0,89.5,37.6,161.5,10.4,47.5,22.3,0
217,9,30,66,0.2,73.5,4.1,26.6,1.5,6.0,0.7,1
222,9,30,80,0.0,83.1,7.9,34.5,3.5,10.0,3.7,1
89,8,35,48,0.0,90.1,54.2,220.4,12.5,67.4,30.2,0
8,6,25,88,0.2,52.9,7.9,38.8,0.4,10.5,0.3,0
13,6,30,78,0.5,59.0,4.6,7.8,1.0,4.4,0.4,0
59,7,31,79,0.0,85.4,28.5,136,4.7,37.4,10.7,0
209,8,36,54,0.0,91.0,65.9,177.3,10.0,68.0,26.1,1
131,6,30,41,0.0,89.4,13.3,22.5,8.4,13.1,10,1
17,6,31,78,0.3,56.9,1.9,8,0.7,2.4,0.2,0
167,7,31,83,0.0,84.5,19.4,33.1,4.7,19.2,7.3,1
72,8,35,51,0.3,81.3,15.6,75.1,2.5,20.7,4.2,0
214,9,29,86,0.0,37.9,0.9,8.2,0.1,1.4,0,1
134,6,30,52,2.0,72.3,11.4,7.8,1.4,10.9,0.9,1
199,8,42,24,0.0,96.0,30.3,76.4,15.7,30.4,24,1
224,9,30,73,0.0,79.2,6.5,16.6,2.1,6.6,1.2,1
63,8,35,63,0.3,76.6,5.7,10,1.7,5.5,0.8,0
54,7,31,65,0.0,84.3,12.5,88.7,4.8,18.5,7.3,0
107,9,30,65,0.0,78.1,3.2,15.7,1.9,4.2,0.8,0
50,7,33,70,0.0,85.4,18.5,71.5,5.2,22.4,8.8,0
202,8,36,81,0.0,83.7,34.4,107,3.8,38.1,9,1
175,7,33,63,1.1,72.8,20.9,56.6,1.6,21.7,2.5,1
230,9,34,44,0.0,92.5,25.2,63.3,11.2,26.2,17.5,1
190,8,37,56,0.0,87.4,11.2,20.2,5.2,11.0,5.9,1
240,9,28,87,4.4,41.1,6.5,8,0.1,6.2,0,1
232,9,29,41,0.1,83.9,24.9,86,2.7,28.9,5.6,1
170,7,34,58,0.0,88.1,27.8,61.1,7.3,27.7,13,1
58,7,32,73,0.0,86.6,26.7,127,5.6,35.0,11.9,0
48,7,35,59,0.0,88.1,12.0,52.8,7.7,18.2,10.9,0
88,8,34,64,0.0,89.4,50.2,210.4,7.3,62.9,19.9,0
21,6,31,67,0.1,79.1,7.0,39.5,2.4,9.7,2.3,0
57,7,33,76,0.0,86.5,24.4,117.8,5.6,32.1,11.3,0
204,8,37,53,0.0,89.5,41.1,127.5,8.0,45.5,18.1,1
160,7,36,43,1.9,82.3,9.4,9.9,3.2,9.0,3.1,1
236,9,35,56,0.0,89.0,29.4,115.6,7.5,36.0,15.2,1
188,8,30,54,3.1,70.5,11.0,9.1,1.3,10.5,0.8,1
192,8,39,39,0.2,89.3,15.8,35.4,8.2,15.8,10.7,1
129,6,28,51,1.3,71.4,7.7,7.4,1.5,7.3,0.8,1
37,7,33,68,0.0,85.6,12.5,49.8,6.0,15.4,8,0
157,7,35,42,0.3,84.7,15.5,45.1,4.3,16.7,6.3,1
229,9,33,26,0.0,93.9,21.2,59.2,14.2,22.4,19.3,1
1,6,29,61,1.3,64.4,4.1,7.6,1.0,3.9,0.4,0
52,7,27,66,0.4,68.2,10.5,71.3,1.8,15.4,2.1,0
149,6,37,37,0.0,92.5,27.2,52.4,11.7,27.1,18.4,1
130,6,27,59,0.1,78.1,8.5,14.7,2.4,8.3,1.9,1
151,6,34,42,1.7,79.7,12.0,8.5,2.2,11.5,2.2,1
103,9,29,88,0.0,71.0,2.6,16.6,1.2,3.7,0.5,0
99,9,30,73,0.9,62.0,2.6,8.4,1.1,3.0,0.4,0
116,9,26,81,5.8,48.6,3.0,7.7,0.4,3.0,0.1,0
87,8,33,82,0.0,84.9,47.0,200.2,4.4,59.3,13.2,0
203,8,36,71,0.0,86.0,36.9,117.1,5.1,41.3,12.2,1
74,8,33,66,0.0,87.0,21.7,94.7,5.7,27.2,10.6,0
215,9,28,67,0.0,75.4,2.9,16.3,2.0,4.0,0.8,1
211,8,35,53,0.5,80.2,20.7,149.2,2.7,30.6,5.9,1
121,9,25,78,1.4,45.0,1.9,7.5,0.2,2.4,0.1,0
243,9,24,64,0.2,67.3,3.8,16.5,1.2,4.8,0.5,1
20,6,30,78,0.0,81.0,6.3,31.6,2.6,8.4,2.2,0
189,8,34,63,2.9,69.7,7.2,9.8,1.2,6.9,0.6,1
71,8,35,63,0.0,88.9,21.7,77,7.1,25.5,12.1,0
106,9,24,82,0.4,44.9,0.9,7.3,0.2,1.4,0,0
14,6,28,80,3.1,49.4,3.0,7.4,0.4,3.0,0.1,0
92,9,25,76,7.2,46.0,1.3,7.5,0.2,1.8,0.1,0
180,7,34,59,0.0,88.1,19.5,47.2,7.4,19.5,10.9,1
102,9,30,77,1.8,58.5,1.9,8.4,1.1,2.4,0.3,0
